Customer id,Acquisition Date,Acquisition Channel,Acquisition Device,,,,,,,,,,,,,,,,,,
205002,9/2/02,,Desktop,,,,,,,,,,,,,,,,,,
215772,6/1/16,,Desktop,,,,,,,,,,,,,,,,,,
929953,5/31/16,,,,,,,,,,,,,,,,,,,,
554107,5/27/16,Search - Organic,,,,,,,,,,,,,,,,,,,
706914,5/21/16,Search - Organic,,,,,,,,,,,,,,,,,,,
719940,5/20/16,Display - Acquisition,Desktop,,,,,,,,,,,,,,,,,,
92687,5/16/16,Search - Paid,Phone,,,,,,,,,,,,,,,,,,
24317,5/15/16,Other,,,,,,,,,,,,,,,,,,,
243450,5/11/16,,,,,,,,,,,,,,,,,,,,
347639,5/8/16,Display - Acquisition,Desktop,,,,,,,,,,,,,,,,,,
948163,5/7/16,Search - Paid,,,,,,,,,,,,,,,,,,,
154509,5/4/16,,Desktop,,,,,,,,,,,,,,,,,,
521789,5/1/16,Comparison Shopping,,,,,,,,,,,,,,,,,,,
1113423,4/29/16,Search - Paid,,,,,,,,,,,,,,,,,,,
717780,4/25/16,,Desktop,,,,,,,,,,,,,,,,,,
331566,4/21/16,,Desktop,,,,,,,,,,,,,,,,,,
605959,4/19/16,,Phone,,,,,,,,,,,,,,,,,,
1050290,4/14/16,Comparison Shopping,,,,,,,,,,,,,,,,,,,
92545,4/14/16,Search - Organic,Phone,,,,,,,,,,,,,,,,,,
1116244,4/12/16,Search - Organic,,,,,,,,,,,,,,,,,,,
877544,4/5/16,,,,,,,,,,,,,,,,,,,,
601153,4/1/16,,Phone,,,,,,,,,,,,,,,,,,
199348,3/31/16,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
1060007,3/29/16,,,,,,,,,,,,,,,,,,,,
924247,3/25/16,Search - Paid,,,,,,,,,,,,,,,,,,,
569041,3/25/16,Search - Organic,,,,,,,,,,,,,,,,,,,
719595,3/19/16,,Desktop,,,,,,,,,,,,,,,,,,
181666,3/19/16,,Desktop,,,,,,,,,,,,,,,,,,
434904,3/18/16,Other,,,,,,,,,,,,,,,,,,,
949294,3/17/16,,,,,,,,,,,,,,,,,,,,
692236,3/17/16,,,,,,,,,,,,,,,,,,,,
956648,3/11/16,,,,,,,,,,,,,,,,,,,,
262657,3/11/16,Comparison Shopping,,,,,,,,,,,,,,,,,,,
380379,2/28/16,Display - Acquisition,,,,,,,,,,,,,,,,,,,
135912,2/6/16,,Desktop,,,,,,,,,,,,,,,,,,
319038,2/4/16,Search - Organic,Desktop,,,,,,,,,,,,,,,,,,
147954,2/4/16,Other,Desktop,,,,,,,,,,,,,,,,,,
939407,2/2/16,Search - Paid,,,,,,,,,,,,,,,,,,,
245175,2/2/16,,,,,,,,,,,,,,,,,,,,
7309,1/31/16,,Desktop,,,,,,,,,,,,,,,,,,
721682,1/27/16,,Desktop,,,,,,,,,,,,,,,,,,
383902,1/25/16,,,,,,,,,,,,,,,,,,,,
313346,1/23/16,Social - Paid,Desktop,,,,,,,,,,,,,,,,,,
1190765,1/18/16,Search - Paid,,,,,,,,,,,,,,,,,,,
1048073,12/24/15,Search - Organic,,,,,,,,,,,,,,,,,,,
944932,12/24/15,Search - Paid,,,,,,,,,,,,,,,,,,,
1069447,12/23/15,Search - Paid,,,,,,,,,,,,,,,,,,,
197121,12/19/15,,Desktop,,,,,,,,,,,,,,,,,,
1178680,12/17/15,,,,,,,,,,,,,,,,,,,,
1070029,12/16/15,Search - Organic,,,,,,,,,,,,,,,,,,,
34332,12/15/15,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
411524,12/14/15,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
123476,12/13/15,,,,,,,,,,,,,,,,,,,,
1187164,12/11/15,Search - Organic,,,,,,,,,,,,,,,,,,,
101562,12/2/15,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
1205310,11/28/15,,,,,,,,,,,,,,,,,,,,
676131,11/27/15,,Phone,,,,,,,,,,,,,,,,,,
451308,11/27/15,,,,,,,,,,,,,,,,,,,,
920420,11/26/15,Comparison Shopping,,,,,,,,,,,,,,,,,,,
68814,11/24/15,,,,,,,,,,,,,,,,,,,,
955384,11/21/15,,,,,,,,,,,,,,,,,,,,
1022625,11/17/15,Search - Paid,,,,,,,,,,,,,,,,,,,
69679,11/15/15,,Phone,,,,,,,,,,,,,,,,,,
658606,10/29/15,Comparison Shopping,Phone,,,,,,,,,,,,,,,,,,
845652,10/26/15,Search - Paid,,,,,,,,,,,,,,,,,,,
450580,10/17/15,Search - Organic,,,,,,,,,,,,,,,,,,,
155631,10/16/15,,Desktop,,,,,,,,,,,,,,,,,,
581872,10/13/15,,,,,,,,,,,,,,,,,,,,
30611,10/12/15,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
330789,10/11/15,Display - Acquisition,,,,,,,,,,,,,,,,,,,
614799,10/10/15,,Phone,,,,,,,,,,,,,,,,,,
165473,10/3/15,Search - Paid,,,,,,,,,,,,,,,,,,,
